,answerPassageId,createdAt,answerPassageText,authorUID,question,corpusVersion,language
176,101397-1,2024-05-02 11:43:51.615735+00:00,"La mejor posición para dormir durante el embarazo es de costado. El lado izquierdo es especialmente bueno porque permite que haya un mayor flujo de sangre hacia el bebé. Además, mejora el funcionamiento renal. Una opción es colocar una almohada entre las rodillas y otra debajo de la panza (el abdomen). Esto puede crear suficiente inclinación para ayudarla a que duerma más cómodamente de costado. Puede que también le resulte útil poner una almohada detrás de la espalda para tener más apoyo. Hable con su proveedor de atención médica si tiene alguna pregunta o inquietud sobre las posiciones para dormir durante el embarazo.

Continúe leyendo aquí: https://myhealth.ucsd.edu/Spanish/RelatedItems/85,P04337",lorena-trial,¿Cuál es la mejor posición para dormir durante el embarazo?,v0.1,es
178,266-14,2023-06-03 10:49:38.808684+00:00,"alergias alimentarias o afecciones relacionadas con la alergia, como el eccema o el asma.

source: https://kidshealth.org/es/parents/feed47m.html",l3eCwZbbUNTonTWXrUayZ2no5C93,Porque mi bebe de 15 meses tiene alergias,v0.1,es
194,689-0,2023-06-02 13:50:43.750022+00:00,"Las manchas de nacimiento son manchas en la piel de un bebé que pueden desarrollarse antes del nacimiento o poco tiempo después de este. Las manchas de nacimiento pueden ser planas o elevadas, tener bordes regulares o irregulares y tener distintos tonos de color desde el marrón, tostado negro o azul pálido al rosa, rojo o púrpura.

source: https://kidshealth.org/es/parents/birthmarks.html",LwYfnEgSVVSc8dFcNE1luSiaaJh2,Mi bebé tiene como una mancha seca en la piel que está creciendo,v0.1,es
198,43389-8,2024-05-02 11:47:56.829563+00:00,"Las grasas saludables: La grasa es una parte importante de una dieta saludable. Durante el embarazo, la grasa es necesaria para el crecimiento y el desarrollo del bebé. Escoja grasas saludables (no saturadas) y limite las grasas insanas, como las saturadas y las trans. Entre las grasas saludables, se encuentran el aceite de oliva, el aceite de colza y otros aceites vegetales, los frutos secos, las semillas, el aguacate y los pescados grasos, como el salmón.

Continúe leyendo aquí: https://kidshealth.org/es/parents/moms-nutrients.html",lorena-trial,¿Cuáles son algunos alimentos saludables para comer durante el embarazo?,v0.1,es
209,101005-0,2024-05-02 11:42:22.297883+00:00,"¿Cuáles son algunas señales de advertencia de las complicaciones posibles durante el embarazo: Hable con su proveedor de atención médica sobre los signos de advertencia posibles de trabajo de parto prematuro y otras complicaciones del embarazo. Avise a su proveedor de atención médica inmediatamente si presenta algo de lo siguiente durante el embarazo:

Continúe leyendo aquí: https://myhealth.ucsd.edu/Spanish/RelatedItems/85,P04297",lorena-trial,¿Cuáles son algunas señales de advertencia durante el embarazo de las que debo estar al tanto?,v0.1,es
222,6499-0,2023-06-23 13:50:12.181377+00:00,"Durante todo el día, debe haber agua potable limpia en las áreas interiores y al aire libre. En días calurosos, a los bebés que beben leche materna en un biberón se les puede dar leche materna adicional, y a los que beben fórmula infantil mezclada con agua se les puede dar fórmula adicional mezclada con agua. A los bebés no se les deber dar agua, sobre todo en los primeros seis meses de vida.

source: https://eclkc.ohs.acf.hhs.gov/es/administracion-de-los-servicios-de-salud/caring-our-children-basics/disponibilidad-de-agua-potable",fnz9MTNcKvPJHWaZYBlh7hlPr0G3,¿Mi bebé necesita beber agua destilada?,v0.1,es
225,8156-6,2023-06-15 10:58:54.723657+00:00,"No restrinja la comida. La restricción de comida hace que los niños ignoren sus medidores internos del hambre. Con frecuencia, los niños a quienes se les restringe la comida terminan pesando más, porque desarrollan ansiedad por la comida y por comer. Con frecuencia, la ansiedad por no recibir lo suficiente para comer hace que un niño coma en exceso siempre que tiene la oportunidad. Esto hace que el niño pierda el contacto con el hambre que tiene

source: https://espanol.kaiserpermanente.org/es/southern-california/health-wellness/health-encyclopedia/he.aba5583",l3eCwZbbUNTonTWXrUayZ2no5C93,Porque mi hijo no come lo suficiente,v0.1,es
226,470-1,2023-05-11 10:33:48.259815+00:00,"La médula ósea es un material esponjoso presente en el interior de los huesos que produce glóbulos blancos, glóbulos rojos y plaquetas. Cuando una persona tiene leucemia, la médula ósea produce glóbulos blancos que no cumplen correctamente su función. Estos glóbulos anormales no pueden proteger al organismo de los gérmenes. Se acumulan en la médula ósea, entran en el torrente sanguíneo y pueden extenderse a otras partes del cuerpo, como los ganglios linfáticos, el cerebro o el hígado.

source: https://kidshealth.org/es/parents/jmml.html",l3eCwZbbUNTonTWXrUayZ2no5C93,Jhgjh,v0.1,es
246,43169-6,2024-05-02 11:45:01.031287+00:00,"¿Cómo debo introducir los alimentos sólidos: Cuando sea el momento adecuado, empiece a darle a su bebé papillas de un solo cereal enriquecido con hierro. Empiece con 1 o 2 cucharadas de papilla del cereal mezcladas con leche materna, de fórmula o agua. Alimente a su bebé con una cucharita para bebés. No añada cereales u otros alimentos al biberón de su bebé porque eso podría llevare a un aumento excesivo de peso. Deje que su bebé practique la conducta de comer usando una cucharita y de dejar que comer cuando esté satisfecho.

Continúe leyendo aquí: https://kidshealth.org/es/parents/solid-foods.html",lorena-trial,¿Cuáles son algunas formas de introducir alimentos sólidos a mi bebé?,v0.1,es
270,80-20,2023-06-03 11:42:11.254370+00:00,"Durante el embarazo, avísale al doctor o a la comadrona que piensas amamantar al bebé. Pregunta con qué tipo de ayuda puedes contar para aprender lo que necesitas.

source: https://health.gov/espanol/myhealthfinder/embarazo/consultas-doctor-o-partera/amamanta-tu-bebe-dale-pecho",l3eCwZbbUNTonTWXrUayZ2no5C93,Puedo darle pecho a mi bebe mientras estoy embarazada,v0.1,es
297,128-2,2023-05-31 15:34:44.584395+00:00,"Los bebés de más meses de edad pueden no pasarse toda la noche durmiendo en esta postura, y no pasa nada. Una vez los bebés hayan aprendido a darse la vuelta, pasando de estar boca abajo a estar boca arriba y viceversa, habrá llegado el momento de que duerman en la posición que ellos escojan. No use posicionadores, cuñas o similares pensados para reducir el riesgo de SMSL.

source: https://kidshealth.org/es/parents/back-sleep.html",QbpRA7yqNATq6w1ftOgCWKMptnh2,Esta bien acostarse boca arriba por periodos cortos de tiempo?,v0.1,es
301,120427-0,2024-05-02 11:42:57.969101+00:00,"Los niños pequeños o que comienzan a caminar tienen entre 1 y 3 años de edad.

Continúe leyendo aquí: https://medlineplus.gov/spanish/ency/article/002010.htm",lorena-trial,¿Cuáles son algunas señales de que mi bebé está listo para comenzar a caminar?,v0.1,es
302,9949-3,2023-06-08 09:49:56.675167+00:00,"El VIH es el virus que conduce al sida. ""SIDA"" significa síndrome de la inmunodeficiencia adquirida. Es la etapa más grave de la infección por el VIH. La gente con sida contrae enfermedades que el sistema inmunitario normalmente es capaz de combatir, como la neumonía, ciertos tipos de cáncer e infecciones. Puede tardar meses o años para que el VIH se convierta en sida.

source: https://nacersano.marchofdimes.org/embarazo/vih.aspx",WP2OKXjmE1gzxLXdmr7SSQ5HJzy2,Qué es SIDA,v0.1,es
318,1628-19,2023-06-26 15:21:40.222649+00:00,"Además, ahora muchos hospitales ofrecen habitaciones de maternidad que permiten a la mujer estar en la misma cama durante la fase de dilatación, el parto y, a veces, el posparto (después del nacimiento). Estas habitaciones están completamente equipadas para partos sin complicaciones. Suelen ser agradables y cuentan con una iluminación suave.

source: https://kidshealth.org/es/parents/birth-plans.html",fnz9MTNcKvPJHWaZYBlh7hlPr0G3,¿Comer dátiles inicia el proceso de parto?,v0.1,es
325,43401-3,2024-05-02 11:43:42.770872+00:00,"Comenzar a darle alimentos sólidos al bebé: Sepa si su bebé está listo para los alimentos sólidos y, de ser así, qué alimentos darle, cómo dárselos y cuáles evitar.

Continúe leyendo aquí: https://kidshealth.org/es/parents/feed812m.html",lorena-trial,¿Cómo puedo presentarle los alimentos sólidos a mi bebé?,v0.1,es
372,1585-27,2023-05-17 11:29:26.451156+00:00,"La mejor manera de combatir el estreñimiento y las hemorroides es prevenirlas. Comer una dieta rica en fibra, bebiendo abundantes líquidos diariamente y haciendo ejercicio de forma regular puede ayudar a que puedas ir al baño con normalidad. Los ablandadores de heces (no confundir con los laxantes, no recomendados) también pueden ayudarte. Si tienes hemorroides, visita a tu doctor para que te recomiende una crema o ungüento para reducir su tamaño.

source: https://kidshealth.org/es/parents/pregnancy.html",l3eCwZbbUNTonTWXrUayZ2no5C93,Que hacer si mi bb pádece de  estreñimiento,v0.1,es
387,39242-24,2024-05-02 11:47:50.245438+00:00,"Habilidades sensoriales y motoras: Fomente las habilidades sensoriales y motoras de su hijo de la siguiente manera:

Continúe leyendo aquí: https://espanol.kaiserpermanente.org/es/oregon-washington/health-wellness/health-encyclopedia/he.te7089",lorena-trial,¿Cuáles son algunas formas de ayudar a mi bebé a desarrollar habilidades motoras?,v0.1,es
416,9170-3,2023-07-10 11:32:35.131054+00:00,"Los bebés empiezan a aprender en el vientre de su madre, donde oyen voces familiares y responden a estas. El aprendizaje más rápido sucede entre los 2 y los 5 años de edad.

source: https://espanol.kaiserpermanente.org/es/maryland-virginia-washington-dc/health-wellness/health-encyclopedia/he.hw265266",l3eCwZbbUNTonTWXrUayZ2no5C93,Cuando un bebé debe aprender a hablar,v0.1,es
418,7940-188,2023-06-13 15:00:44.753290+00:00,"ul. Todos los niños necesitan cuatro dosis: una a los 2 meses de edad, una a los 4 meses de edad, una a los 6 meses de edad y una entre los 12 y 15 meses de edad.

source: https://espanol.kaiserpermanente.org/es/southern-california/health-wellness/health-encyclopedia/he.immun",l3eCwZbbUNTonTWXrUayZ2no5C93,Que tipo de vacuna necesita mi bebé de 15 meses,v0.1,es
449,119570-0,2024-05-02 11:46:44.119900+00:00,"Introducción: Es un momento difícil cuando su bebé está enfermo. Los problemas de salud más comunes en los bebés incluyen resfríos, tos, fiebre y vómitos. Los bebes también puede tener problemas de piel, como sarpullido del pañal o costra láctea.

Continúe leyendo aquí: https://medlineplus.gov/spanish/commoninfantandnewbornproblems.html",lorena-trial,¿Cuáles son algunas enfermedades comunes en los bebés?,v0.1,es
476,45834-7,2024-05-02 11:48:48.049499+00:00,"¿Con qué frecuencia debe ir a los chequeos de cuidado prenatal: La mayoría de las embarazadas pueden seguir este cronograma:

Continúe leyendo aquí: https://nacersano.marchofdimes.org/embarazo/visitas-de-cuidado-prenatal.aspx",lorena-trial,¿Con qué frecuencia debo ir a los controles prenatales?,v0.1,es
487,120369-0,2024-05-02 11:42:40.942362+00:00,"Se espera que los bebés típicos de 4 meses desarrollen ciertas destrezas físicas y mentales, denominadas hitos o acontecimientos importantes.

Continúe leyendo aquí: https://medlineplus.gov/spanish/ency/article/002007.htm",lorena-trial,¿Cuáles son algunos hitos comunes para los bebés y cuándo debo esperarlos?,v0.1,es
499,45834-7,2024-05-01 20:42:33.929725+00:00,"¿Con qué frecuencia debe ir a los chequeos de cuidado prenatal: La mayoría de las embarazadas pueden seguir este cronograma:

Continúe leyendo aquí: https://nacersano.marchofdimes.org/embarazo/visitas-de-cuidado-prenatal.aspx",lorena-trial,¿Con qué frecuencia debo programar chequeos prenatales?,v0.1,es
502,1060-9,2024-05-02 11:42:34.111662+00:00,"¿Te ha sorprendido algo más sobre la lactancia materna: ¡Sí! Para mí, lo más sorprendente sobre la lactancia materna es que mi cuerpo está programado para producir leche. Incluso cuando estoy lejos de mi hijo, sé cuándo es el momento para alimentarlo.

Continúe leyendo aquí: https://espanol.womenshealth.gov/blog/spotlight-breastfeeding-month",lorena-trial,¿Qué cosas debo saber sobre la lactancia materna?,v0.1,es
525,98602-10,2024-05-02 11:43:45.774730+00:00,"¿Cómo puede ayudar a su hijo con las molestias de la dentición: Si su bebé está irritable por la dentición, pruebe lo siguiente:

Continúe leyendo aquí: https://myhealth.ucsd.edu/Spanish/DiseasesConditions/Pediatric/Growth/90,P04976",lorena-trial,¿Cómo puedo saber si mi bebé está dentando?,v0.1,es
528,41478-14,2024-05-02 11:47:22.657635+00:00,"¿Cómo le cambio el pañal a mi bebé: Independientemente de que escoja pañales desechables o de tela, su pequeño ensuciará los pañales unas 10 veces al día (aproximadamente 70 veces por semana). Al cambiarle los pañales a su bebé:

Continúe leyendo aquí: https://kidshealth.org/es/parents/guide-parents.html",lorena-trial,¿Con qué frecuencia debo cambiar el pañal de mi bebé?,v0.1,es
541,1226-7,2023-05-17 10:09:23.278304+00:00,"Revelar este tipo de información los convierte en blancos fáciles para los depredadores en línea y para otras personas que los podrían acechar o hacerles daño. De hecho, muchos niños afirman que el hecho de entrar en contacto con desconocidos en línea les hace pasar miedo o sentirse incómodos.

source: https://kidshealth.org/es/parents/social-media-smarts.html",JqIXVmpHhGa9SmYbZpvNasgjlyt2,ተሀአገሰሀሰ,v0.1,es
543,100971-0,2024-05-02 11:45:43.157462+00:00,"Pruebas comunes durante el embarazo: Las siguientes son algunas de las pruebas más comunes durante el embarazo:

Continúe leyendo aquí: https://myhealth.ucsd.edu/Spanish/RelatedItems/85,P04340",lorena-trial,¿Cuáles son algunas pruebas comunes durante el embarazo?,v0.1,es
549,9720-0,2023-06-08 14:09:21.639493+00:00,"Anualmente se les otorgan a los mejores programas fondos para programas comunitarios. Programas locales tales como Becoming a mom/Comenzando bien®, programa sobre los beneficios del cuidado prenatal ofrecido a un grupo de mujeres a la vez, se concentran en mejorar la calidad del cuidado de la salud. También apoyamos servicios que promueven la salud y el bienestar de las familias y las parejas antes del embarazo para aumentar la probabilidad de que tengan un bebé sano.

source: https://nacersano.marchofdimes.org/quienes-somos/programas.aspx",l3eCwZbbUNTonTWXrUayZ2no5C93,Hay programas de salud para madres que no tengan seguro de salud,v0.1,es
564,120546-2,2024-05-01 10:14:28.495157+00:00,"La lactancia materna es buena para su bebé: La leche materna es la fuente de alimento natural para los bebés menores de 1 año. Esta leche:

Continúe leyendo aquí: https://medlineplus.gov/spanish/ency/patientinstructions/000639.htm",l3eCwZbbUNTonTWXrUayZ2no5C93,Es recomendado darle leche materna a mi niño,v0.1,es
571,1554-0,2023-04-29 00:42:49.852292+00:00,"El VIH (virus de la inmunodeficiencia humana) es un virus que ataca al sistema inmunitario. El sistema inmunitario se debilita, poniéndole difícil al cuerpo combatir las infecciones y algunos tipos de cánceres.

source: https://www.cdc.gov/reproductivehealth/index.html?CDC_AA_refVal=https%3A%2F%2Fwww.cdc.gov%2Fchronicdisease%2Fresources%2Fpublications%2Faag%2Fmaternal.htm",dVwZK4f6qdMiBlg5fEU5HmvwqLa2,HIV,v0.1,es
595,9351-52,2023-07-11 10:05:36.231676+00:00,"La mayoría de los bebés duermen un total de 18 horas al día. Se despiertan por poco tiempo, como mínimo, cada 2 o 3 horas. Siempre debe hacer dormir al bebé boca arriba, no sobre el abdomen. Esto reduce el riesgo del síndrome de muerte infantil súbita (SIDS, por sus siglas en inglés).

source: https://espanol.kaiserpermanente.org/es/southern-california/health-wellness/health-encyclopedia/he.abl1277",JqIXVmpHhGa9SmYbZpvNasgjlyt2,¿Cuánto tiempo debe dormir la siesta mi bebé?,v0.1,es
606,43169-0,2024-04-10 09:56:27.567064+00:00,"¿Cuándo puede empezar a comer alimentos sólidos mi bebé: Una amiga empezó a darle a su hijo de 3 meses papillas de arroz y puré de manzana. Mi hijo tiene solo 2 semanas menos que el suyo, y me pregunto si yo también debería empezar a darle sólidos pronto. ¿Cuándo debería comenzar?

Continúe leyendo aquí: https://kidshealth.org/es/parents/solid-foods.html",LfrdulxiEUWpzj0NSZWpPoaHdR23,Cuando debo darle sólidos a mi bebé?,v0.1,es
607,9948-6,2023-06-15 09:54:46.788356+00:00,"Esto es lo que puede hacer para reducir su riesgo y el de su bebé de infectarse:

source: https://nacersano.marchofdimes.org/embarazo/infecciones-de-transmision-sexual-durante-el-embarazo.aspx",l3eCwZbbUNTonTWXrUayZ2no5C93,Medicina para bebés con herpes,v0.1,es
614,46228-0,2024-05-02 11:42:46.352047+00:00,"Cómo ayudar a que el bebé duerma toda la noche: El sueño es vital para los recién nacidos. ¡Y para ti también! Sigue estos consejos para que tu pequeño duerma toda la noche y ambos puedan descansar bien.

Continúe leyendo aquí: https://www.mayoclinic.org/es/healthy-lifestyle/infant-and-toddler-health/in-depth/baby-sleep/art-20045014",lorena-trial,¿Cuáles son algunas formas de ayudar a mi bebé a dormir toda la noche?,v0.1,es
630,1655-10,2023-05-06 10:48:15.940627+00:00,"Un colesterol LDL alto combinado con un colesterol HDL bajo aumenta el riesgo de que la persona tenga enfermedades cardíacas (de corazón).

source: https://kidshealth.org/es/parents/cholesterol.html",l3eCwZbbUNTonTWXrUayZ2no5C93,Es Malo si tengo el colesterol alto,v0.1,es
635,63379-3,2024-05-01 20:44:33.912019+00:00,"Síntomas: Las náuseas, con o sin vómitos, son comunes en el embarazo. Las náuseas matutinas suelen deberse a determinados olores o ciertos alimentos.

Continúe leyendo aquí: https://www.mayoclinic.org/es/diseases-conditions/morning-sickness/symptoms-causes/syc-20375254",lorena-trial,¿Cuáles son los síntomas comunes de las náuseas matutinas?,v0.1,es
645,121064-6,2024-06-15 10:18:37.289080+00:00,"Niño que comienza a caminar (niño pequeño): 1 a 3 años de edad

Continúe leyendo aquí: https://medlineplus.gov/spanish/ency/article/002002.htm",l3eCwZbbUNTonTWXrUayZ2no5C93,Cuando debe un bebe comenzar a caminar?,v0.1,es
650,1765-0,2024-05-01 10:43:02.239524+00:00,"Qué NO hacer cuando su hijo está haciendo un berrinche: Consejos para responder al mal comportamiento de los niños pequeños.

Continúe leyendo aquí: https://childmind.org/es/articulo/que-no-hacer-cuando-su-hijo-esta-haciendo-un-berrinche/",l3eCwZbbUNTonTWXrUayZ2no5C93,Que hacer cuando mi hijo hace berrinche,v0.1,es
683,1105-8,2023-06-03 11:16:17.087983+00:00,"No permita que su hijo coma o beba durante las 6 horas previas al escáner (pero sí está permitido tomar agua).

source: https://kidshealth.org/es/parents/pet-mri.html",l3eCwZbbUNTonTWXrUayZ2no5C93,Que debo hacer si mi hijo no toma agua,v0.1,es
712,2027-19,2023-05-06 10:46:48.195311+00:00,"Según los datos disponibles, se desconoce si el colesterol alto en el embarazo puede causar problemas de conducta o de aprendizaje.

source: https://mothertobaby.org/es/hojas-informativas/colesterol-alto/",l3eCwZbbUNTonTWXrUayZ2no5C93,Tener el colesterol alto le afecta a mi bebe,v0.1,es
745,499-1,2023-05-17 10:02:19.585836+00:00,"La fiebre tifoidea está provocada por una bacteria llamada Salmonella Typhi (S. Typhi), que está relacionada con la bacteria de la salmonella, que provoca intoxicaciones alimentarias. Esta bacteria vive típicamente en los seres humanos y se trasmite a través de las heces (caca) y la orina (pis).

source: https://kidshealth.org/es/parents/typhoid.html",JqIXVmpHhGa9SmYbZpvNasgjlyt2,que es la fiebre,v0.1,es
755,45834-7,2024-05-02 11:47:54.860293+00:00,"¿Con qué frecuencia debe ir a los chequeos de cuidado prenatal: La mayoría de las embarazadas pueden seguir este cronograma:

Continúe leyendo aquí: https://nacersano.marchofdimes.org/embarazo/visitas-de-cuidado-prenatal.aspx",lorena-trial,¿Con qué frecuencia debo ir a los controles prenatales?,v0.1,es
817,45818-0,2024-06-18 13:56:36.772501+00:00,"Bebé: La llegada de su bebé trae consigo miles de preguntas acerca de como cuidarlo, bañarlo, alimentarlo y protegerlo.

Continúe leyendo aquí: https://nacersano.marchofdimes.org/bebe.aspx",AelZYirIiKRU36tUn84YHMSPNkE2,Baby,v0.1,es
848,43384-1,2024-05-02 11:48:15.376218+00:00,"¿Con qué frecuencia debo amamantar a mi bebé: Durante el primer mes de vida, los recién nacidos deben alimentarse entre ocho y 12 veces al día. La leche materna se digiere fácilmente, por lo que los recién nacidos tienen hambre a menudo. Además, el hecho de amamantar frecuentemente a su bebé favorece su producción de leche durante las primeras semanas.

Continúe leyendo aquí: https://kidshealth.org/es/parents/breastfeed-often.html",lorena-trial,¿Con qué frecuencia debo amamantar a mi bebé?,v0.1,es
868,877-0,2023-06-27 21:43:27.083960+00:00,"La fiebre del dengue es una enfermedad tropical provocada por un virus que transmiten los mosquitos. El virus puede causar fiebre, dolores de cabeza, sarpullidos y dolor por todo el cuerpo. La mayoría de los casos de fiebre del dengue son leves y desaparecen por sí solos en aproximadamente una semana.

source: https://kidshealth.org/es/parents/dengue.html",JqIXVmpHhGa9SmYbZpvNasgjlyt2,What is fever?,v0.1,es
870,61770-8,2024-04-15 20:19:17.576290+00:00,"Las reacciones tardan unos 15 minutos en desarrollarse por completo. En ese momento, la enfermera volverá para medir la reacción, que aparece como pequeños círculos de inflamación llamados habones. Los habones pueden picar y se parecen a las picaduras de mosquitos. La gravedad de la alergia se mide por el tamaño del habón con una regla milimétrica.

Continúe leyendo aquí: https://www.mayoclinic.org/es/tests-procedures/allergy-tests/multimedia/allergy-tests/vid-20084715",AelZYirIiKRU36tUn84YHMSPNkE2,What is fever test with 04/15,v0.1,es
873,10378-46,2023-07-01 11:23:45.091903+00:00,"Si el chupete se le cae de la boca al bebé mientras duerme, no es necesario que se lo vuelva a poner. Está bien si el bebé no quiere el chupete; no lo obligue a tomarlo. Chuparse el dedo no reduce el riesgo del síndrome de muerte súbita del bebé.

source: https://espanol.nichd.nih.gov/actividades-proyectos/sts/reducir-riesgo",l3eCwZbbUNTonTWXrUayZ2no5C93,Porque mi bebe se chupa el dedo,v0.1,es
884,9601-0,2023-06-13 15:56:50.511897+00:00,"En comparación con los bebés que nacen más tarde, los bebés prematuros pueden tener más problemas de salud y necesitar permanecer en el hospital por más tiempo.

source: https://nacersano.marchofdimes.org/complicaciones/nacimiento-prematuro.aspx",l3eCwZbbUNTonTWXrUayZ2no5C93,Cual es la diferencia entre un bebe prematuro y un bebe que nace en su tiempo,v0.1,es
895,1605-4,2023-06-02 13:50:15.725572+00:00,"En contadas ocasiones, algunos bebés nacen con uno o dos dientes o les sale el primer diente durante las primeras semanas de vida. Salvo en aquellos casos en que estos dientes interfieran en la alimentación o estén demasiado sueltos y supongan un riesgo de atragantamiento y de asfixia por aspiración, no suele ser motivo de preocupación.

source: https://kidshealth.org/es/parents/teething.html",LwYfnEgSVVSc8dFcNE1luSiaaJh2,¿Cuándo tienen los bebés su primer diente?,v0.1,es
901,5002-2,2023-06-23 14:28:31.421898+00:00,"Escuche en este pódcast (versión de audio) del video de cinco minutos para visitadores del hogar sobre cómo ayudar a las familias a promover el tiempo boca abajo con sus bebés.

source: https://eclkc.ohs.acf.hhs.gov/es/salud-fisica/articulo/tiempo-boca-abajo",fnz9MTNcKvPJHWaZYBlh7hlPr0G3,¿Cuánto dura el tiempo boca abajo?,v0.1,es
