,Unnamed: 0,passage,facts,facts_list,questions
10,10,"What are Birth Defects: Birth defects are common, costly, and critical conditions that affect 1 in every 33 babies born in the United States each year.1 Read more about what we have learned about birth defects and how women can improve their chances of having a baby born without a birth defect.","['Birth defects are common conditions.', 'Birth defects are costly conditions.', 'Birth defects are critical conditions.', 'Birth defects affect 1 in every 33 babies born in the United States each year.', 'Women can improve their chances of having a baby born without a birth defect.']","['Birth defects are common conditions.', 'Birth defects are costly conditions.', 'Birth defects are critical conditions.', 'Birth defects affect 1 in every 33 babies born in the United States each year.', 'Women can improve their chances of having a baby born without a birth defect.']","['Are birth defects common conditions?', 'Are birth defects costly conditions?', 'Are birth defects considered critical conditions?', 'Do birth defects affect 1 in every 33 babies born in the United States each year?', 'Can women improve their chances of having a baby born without a birth defect?']"
11,11,Should all women breastfeed? Health care providers agree that breastfeeding is one of the healthiest choices a mother can make for herself and her child. But many moms experience challenges with breastfeeding along the way.,"['Health care providers agree that breastfeeding is one of the healthiest choices a mother can make for herself and her child.', 'Many mothers experience challenges with breastfeeding along the way.']","['Health care providers agree that breastfeeding is one of the healthiest choices a mother can make for herself and her child.', 'Many mothers experience challenges with breastfeeding along the way.']","['Do health care providers agree that breastfeeding is one of the healthiest choices a mother can make for herself and her child?', 'Do many mothers experience challenges with breastfeeding along the way?']"
12,12,"Some physical disabilities also affect bone density, such as cerebral palsy, anorexia, and congenital conditions where osteoporosis (low bone density) is a concern. For people with these disabilities, the shot, which temporarily decreases bone density while you’re using it, probably isn’t the best option.","['Some physical disabilities affect bone density, including cerebral palsy, anorexia, and congenital conditions.', 'Osteoporosis, which is characterized by low bone density, is a concern for people with certain physical disabilities.', 'The shot, which temporarily decreases bone density while in use, is probably not the best option for people with disabilities that affect bone density.']","['Some physical disabilities affect bone density, including cerebral palsy, anorexia, and congenital conditions.', 'Osteoporosis, which is characterized by low bone density, is a concern for people with certain physical disabilities.', 'The shot, which temporarily decreases bone density while in use, is probably not the best option for people with disabilities that affect bone density.']","['Do cerebral palsy, anorexia, and congenital conditions affect bone density?', 'Is osteoporosis, characterized by low bone density, a concern for people with certain physical disabilities?', 'Does the shot temporarily decrease bone density while in use, making it probably not the best option for people with disabilities that affect bone density?']"
13,13,"How has family life been during the pandemic: My mother, stepfather, father and stepmother all live in Indiana. I talk to my mother and stepfather a few times a week, usually to check in and just chat. I am very close to my mother, so we always used to talk frequently even before COVID-19. Multiple people in my family have increased risk of adverse outcomes with pre-existing conditions if they were to get COVID, so I have not traveled home, and they haven’t traveled here to visit.","[""The speaker's mother, stepfather, father, and stepmother all live in Indiana."", 'The speaker talks to their mother and stepfather a few times a week, usually to check in and just chat.', 'The speaker is very close to their mother and always used to talk frequently with her even before COVID-19.', ""Multiple people in the speaker's family have an increased risk of adverse outcomes with pre-existing conditions if they were to get COVID-19."", 'The speaker has not traveled home, and their family members have not traveled to visit the speaker due to the risk of COVID-19.']","[""The speaker's mother, stepfather, father, and stepmother all live in Indiana."", 'The speaker talks to their mother and stepfather a few times a week, usually to check in and just chat.', 'The speaker is very close to their mother and always used to talk frequently with her even before COVID-19.', ""Multiple people in the speaker's family have an increased risk of adverse outcomes with pre-existing conditions if they were to get COVID-19."", 'The speaker has not traveled home, and their family members have not traveled to visit the speaker due to the risk of COVID-19.']","[""Do the speaker's mother, stepfather, father, and stepmother all live in Indiana?"", 'Do you talk to your mother and stepfather a few times a week to check in and just chat?', 'Did the speaker frequently talk to their mother even before COVID-19?', 'Do multiple people in your family have an increased risk of adverse outcomes with pre-existing conditions if they were to get COVID-19?', 'Have the speaker and their family members avoided traveling to see each other due to the risk of COVID-19?']"
14,14,"If donor eggs are being used, the same steps are taken. The egg donor will complete ovarian stimulation and egg retrieval. After fertilization takes place, the embryo is transferred to the person who intends to carry the pregnancy (either with or without various fertility medications).","['If donor eggs are being used, the same steps are taken as with non-donor eggs.', 'The egg donor will complete ovarian stimulation.', 'The egg donor will undergo egg retrieval.', 'After fertilization takes place, the embryo is transferred to the person who intends to carry the pregnancy.', 'The embryo transfer to the person who intends to carry the pregnancy can occur with or without various fertility medications.']","['If donor eggs are being used, the same steps are taken as with non-donor eggs.', 'The egg donor will complete ovarian stimulation.', 'The egg donor will undergo egg retrieval.', 'After fertilization takes place, the embryo is transferred to the person who intends to carry the pregnancy.', 'The embryo transfer to the person who intends to carry the pregnancy can occur with or without various fertility medications.']","['Are the same steps taken with donor eggs as with non-donor eggs?', 'Will the egg donor complete ovarian stimulation?', 'Will the egg donor undergo egg retrieval?', 'Is the embryo transferred to the person who intends to carry the pregnancy after fertilization takes place?', 'Can the embryo transfer to the person who intends to carry the pregnancy occur with or without various fertility medications?']"
15,15,"Semen analysis: A low sperm count is diagnosed as part of a semen analysis test. Sperm count is generally determined by examining semen under a microscope to see how many sperm appear within squares on a grid pattern. In some cases, a computer might be used to measure sperm count.","['A low sperm count is diagnosed as part of a semen analysis test.', 'Sperm count is generally determined by examining semen under a microscope.', 'The examination of semen under a microscope involves counting how many sperm appear within squares on a grid pattern.', 'In some cases, a computer might be used to measure sperm count.']","['A low sperm count is diagnosed as part of a semen analysis test.', 'Sperm count is generally determined by examining semen under a microscope.', 'The examination of semen under a microscope involves counting how many sperm appear within squares on a grid pattern.', 'In some cases, a computer might be used to measure sperm count.']","['Is a low sperm count diagnosed as part of a semen analysis test?', 'Is sperm count determined by examining semen under a microscope?', 'Does the examination of semen under a microscope involve counting how many sperm appear within squares on a grid pattern?', 'Can a computer be used to measure sperm count in some cases?']"
16,16,Make sure your baby is vaccinated. A baby who is fully immunized is at lower risk for SIDS.,"['Parents should make sure their baby is vaccinated.', 'A baby who is fully immunized is at lower risk for Sudden Infant Death Syndrome (SIDS).']","['Parents should make sure their baby is vaccinated.', 'A baby who is fully immunized is at lower risk for Sudden Infant Death Syndrome (SIDS).']","['Should parents make sure their baby is vaccinated?', 'Is a baby who is fully immunized at lower risk for Sudden Infant Death Syndrome (SIDS)?']"
17,17,"Although most people associate ultrasound with pregnancy, healthcare providers use ultrasound for many different situations and to look at several different parts of the inside of your body.","['Most people associate ultrasound with pregnancy.', 'Healthcare providers use ultrasound for many different situations.', 'Healthcare providers use ultrasound to look at several different parts of the inside of the body.']","['Most people associate ultrasound with pregnancy.', 'Healthcare providers use ultrasound for many different situations.', 'Healthcare providers use ultrasound to look at several different parts of the inside of the body.']","['Do most people associate ultrasound with pregnancy?', 'Do healthcare providers use ultrasound for many different situations?', 'Do healthcare providers use ultrasound to look at several different parts of the inside of the body?']"
18,18,Some providers may recommend CA 125 testing combined with transvaginal ultrasound every 6 to 12 months for those at very high risk.,['Some providers may recommend CA 125 testing combined with transvaginal ultrasound every 6 to 12 months for those at very high risk.'],['Some providers may recommend CA 125 testing combined with transvaginal ultrasound every 6 to 12 months for those at very high risk.'],['Do some providers recommend CA 125 testing combined with transvaginal ultrasound every 6 to 12 months for those at very high risk?']
19,19,"Gestational diabetes usually develops around the 24th week of pregnancy, so you’ll probably be tested between 24 and 28 weeks.","['Gestational diabetes usually develops around the 24th week of pregnancy.', 'Pregnant individuals will probably be tested for gestational diabetes between 24 and 28 weeks of pregnancy.']","['Gestational diabetes usually develops around the 24th week of pregnancy.', 'Pregnant individuals will probably be tested for gestational diabetes between 24 and 28 weeks of pregnancy.']","['Does gestational diabetes usually develop around the 24th week of pregnancy?', 'Will pregnant individuals probably be tested for gestational diabetes between 24 and 28 weeks of pregnancy?']"
